,name,location,edition,restaurant_url,address
66,Rajah Rowing Indian Kitchen,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/rajah-rowing-editions-wnw?day=today&geohash=gcpugcwkyb25&time=1645,"Unit 4, 271, Merton Road, London, SW185JS"
67,Bronson's Burgers,London,south-norbury,https://deliveroo.co.uk/menu/London/south-norbury/bronsons-burgers-norbury?day=today&geohash=gcpumm6sc317&time=ASAP,"Pod 19 Unit 5-7 Norbury trading, London, SW164RW"
68,TRIP CBD Store,London,beddington-east,https://deliveroo.co.uk/menu/London/beddington-east/trip-cbd-store-croydon?day=today&geohash=gcpumm6sc317&time=ASAP,"106 Beddington Lane, London, CR04TB"
69,Pho,London,honor-oak-park,https://deliveroo.co.uk/menu/London/honor-oak-park/pho-editions-dul?day=today&geohash=gcpumm6sc317&time=1645,"Units 3 & 4 Dulwich Business Centre, Dulwich, London, SE231AG"
70,WING·STOP,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/wingstop-wandsworth?day=today&geohash=gcpusu6unsdd&time=ASAP,"Unit 4, 271 Merton Road, London, SW185JS"
71,Dishoom,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/dishoom-editions-wnw?day=today&geohash=gcpuemxvwjnx&time=ASAP,"Unit 4, 271 Merton Road Industrial Estate, Wandsworth, London, SW185JS"
72,Tao Tao Ju 陶陶居 ,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/tao-tao-ju-editions-wnw?day=today&geohash=gcpuemxvwjnx&time=ASAP,"Unit 4, 271 Merton Road, Southfields, London, SW185JS"
73,Popeyes Louisiana Kitchen,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/popeyes-editions-mdv?day=today&geohash=gcpv4ezcruym&time=ASAP,"8, Mitre Way, Mitre Bridge Industrial Estate, W10 6AU, London, W106AU"
74,Dishoom,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/dishoom-kings-cross?day=today&geohash=gcpv4ezcruym&time=ASAP,"Deliveroo Editions, Unit 8 Mitre Way, Mitre Bridge Industrial Estate, London Borough of Hammersmith and Fulham, London, London, W106AU"
75,Kanada-Ya Ramen Bar,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/kanada-ya-editions-mdv?day=today&geohash=gcpv4ezcruym&time=ASAP,"Unit 8, Mitre Way, Mitre Way Industrial Area, London, W106AU"
76,KKINI Korean Restaurant,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/kkini-editions-mdv?day=today&geohash=gcpv4ezcruym&time=ASAP,"Maida Vale Deliveroo Editions site, 8, Mitre Way, Mitre Bridge Industrial Estate, London Borough of Hammersmith and Fulham, London, Greater London, England, W10 6AU, United Kingdom, London, W106AU, London, W106AU"
77,Remedy Kitchen,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/remedy-kitchen-editions-act?day=today&geohash=gcpv4ezcruym&time=ASAP,"Unit 33, Acton Park Industrial Estate, London, W37QE"
